t =     0, instruction = 0000000000000000, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000000000000000, pcaddr = 0000000000000000
t =    13, instruction = 1111110111100000, clk = 1, outM = 0010101101101000, writeM = 0, addressM = 0000001111100111, pcaddr = 0000000000001111
t =    14, instruction = 1111110111100000, clk = 0, outM = 0010101101101000, writeM = 0, addressM = 0010101101101000, pcaddr = 0000000000010000
t =    14, instruction = 1110001100101000, clk = 1, outM = 1111111111111111, writeM = 1, addressM = 0010101101101000, pcaddr = 0000000000010000
t =    15, instruction = 1110001100101000, clk = 0, outM = 1111111111111111, writeM = 1, addressM = 0111111111111111, pcaddr = 0000000000010001
t =    15, instruction = 0000000000010101, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0111111111111111, pcaddr = 0000000000010001
t =    16, instruction = 0000000000010101, clk = 0, outM = 0000000000010101, writeM = 0, addressM = 0000000000010101, pcaddr = 0000000000010010
t =    16, instruction = 1110011111000010, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000000000010101, pcaddr = 0000000000010010
t =    17, instruction = 1110011111000010, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000000000010101, pcaddr = 0000000000010101
t =    17, instruction = 0000000000000010, clk = 1, outM = 0000000000010101, writeM = 0, addressM = 0000000000010101, pcaddr = 0000000000010101
t =    18, instruction = 0000000000000010, clk = 0, outM = 0000000000000010, writeM = 0, addressM = 0000000000000010, pcaddr = 0000000000010110
t =    18, instruction = 1110000010111000, clk = 1, outM = 0000000000000001, writeM = 1, addressM = 0000000000000010, pcaddr = 0000000000010110
t =    19, instruction = 1110000010111000, clk = 0, outM = 0000000000000010, writeM = 1, addressM = 0000000000000001, pcaddr = 0000000000010111
t =    19, instruction = 1111110111001000, clk = 1, outM = 0010101101101000, writeM = 1, addressM = 0000000000000001, pcaddr = 0000000000010111
t =    20, instruction = 1111110111001000, clk = 0, outM = 0010101101101000, writeM = 1, addressM = 0000000000000001, pcaddr = 0000000000011000
t =    20, instruction = 1111110010101000, clk = 1, outM = 0010101101100110, writeM = 1, addressM = 0000000000000001, pcaddr = 0000000000011000
t =    21, instruction = 1111110010101000, clk = 0, outM = 0010101101100110, writeM = 1, addressM = 0010101101100110, pcaddr = 0000000000011001
t =    21, instruction = 0000001111101000, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0010101101100110, pcaddr = 0000000000011001
t =    22, instruction = 0000001111101000, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011010
t =    22, instruction = 1110111010010000, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011010
t =    23, instruction = 1110111010010000, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011011
t =    23, instruction = 1110001100000001, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011011
t =    24, instruction = 1110001100000001, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011100
t =    24, instruction = 1110001100000010, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011100
t =    25, instruction = 1110001100000010, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011101
t =    25, instruction = 1110001100000011, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011101
t =    26, instruction = 1110001100000011, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011110
t =    26, instruction = 1110001100000100, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000011110
t =    27, instruction = 1110001100000100, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    27, instruction = 1110001100000101, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    28, instruction = 1110001100000101, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    28, instruction = 1110001100000110, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    29, instruction = 1110001100000110, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    29, instruction = 1110001100000111, clk = 1, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    30, instruction = 1110001100000111, clk = 0, outM = 1111111111111111, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    30, instruction = 1110101010010000, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    31, instruction = 1110101010010000, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    31, instruction = 1110001100000001, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    32, instruction = 1110001100000001, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101010
t =    32, instruction = 1110001100000010, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101010
t =    33, instruction = 1110001100000010, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    33, instruction = 1110001100000011, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    34, instruction = 1110001100000011, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    34, instruction = 1110001100000100, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    35, instruction = 1110001100000100, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    35, instruction = 1110001100000101, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    36, instruction = 1110001100000101, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101010
t =    36, instruction = 1110001100000110, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101010
t =    37, instruction = 1110001100000110, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    37, instruction = 1110001100000111, clk = 1, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    38, instruction = 1110001100000111, clk = 0, outM = 0000000000000000, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    38, instruction = 1110111111010000, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    39, instruction = 1110111111010000, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    39, instruction = 1110001100000001, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    40, instruction = 1110001100000001, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    40, instruction = 1110001100000010, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    41, instruction = 1110001100000010, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    41, instruction = 1110001100000011, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    42, instruction = 1110001100000011, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    42, instruction = 1110001100000100, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    43, instruction = 1110001100000100, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    43, instruction = 1110001100000101, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    44, instruction = 1110001100000101, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    44, instruction = 1110001100000110, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    45, instruction = 1110001100000110, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    45, instruction = 1110001100000111, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101001
t =    46, instruction = 1110001100000111, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    46, instruction = 1110001100000111, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000001111101000
t =    47, instruction = 1110001100000111, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000000000
t =    47, instruction = 0111111111111111, clk = 1, outM = 0000000000000001, writeM = 0, addressM = 0000001111101000, pcaddr = 0000000000000000
t =    48, instruction = 0111111111111111, clk = 0, outM = 0000000000000001, writeM = 0, addressM = 0111111111111111, pcaddr = 0000000000000001
